Device,Test Name,Test Status,Message(s),Test description,Test category
dc2-border-leaf1a,VerifyInterfaceErrDisabled,success,,Verifies there are no interfaces in the errdisabled state.,Interfaces
dc2-border-leaf1a,VerifyInterfaceErrors,success,,Verifies that the interfaces error counters are equal to zero.,Interfaces
dc2-border-leaf1a,VerifyInterfaceUtilization,success,,Verifies that the utilization of interfaces is below a certain threshold.,Interfaces
dc2-border-leaf1a,VerifyInterfacesStatus,success,,Verifies the operational states of specified interfaces to ensure they match expected configurations.,Interfaces
dc2-border-leaf1a,VerifyPortChannels,success,,Verifies there are no inactive ports in port channels.,Interfaces
dc2-border-leaf1a,VerifyMlagConfigSanity,success,,Verifies there are no MLAG config-sanity inconsistencies.,MLAG
dc2-border-leaf1a,VerifyMlagInterfaces,success,,Verifies there are no inactive or active-partial MLAG ports.,MLAG
dc2-border-leaf1a,VerifyMlagStatus,success,,Verifies the health status of the MLAG configuration.,MLAG
dc2-border-leaf1a,VerifyRoutingProtocolModel,success,,Verifies the configured routing protocol model.,Routing
dc2-border-leaf1a,VerifySTPCounters,success,,Verifies there is no errors in STP BPDU packets.,STP
dc2-border-leaf1a,VerifyAgentLogs,success,,Verifies there are no agent crash reports.,System
dc2-border-leaf1a,VerifyCoredump,success,,Verifies there are no core dump files.,System
dc2-border-leaf1a,VerifyFileSystemUtilization,success,,Verifies that no partition is utilizing more than 75% of its disk space.,System
dc2-border-leaf1a,VerifyMaintenance,success,,Verifies that the device is not currently under or entering maintenance.,System
dc2-border-leaf1a,VerifyMemoryUtilization,success,,Verifies whether the memory utilization is below 75%.,System
dc2-border-leaf1a,VerifyNTP,success,,Verifies if NTP is synchronised.,System
dc2-border-leaf1a,VerifyReloadCause,success,,Verifies the last reload cause of the device.,System
dc2-border-leaf1a,VerifyVxlanConfigSanity,success,,Verifies there are no VXLAN config-sanity inconsistencies.,VXLAN
dc2-border-leaf1b,VerifyBGPPeerSession,success,,Verifies the session state of BGP peers.,BGP
dc2-border-leaf1b,VerifyZeroTouch,success,,Verifies ZeroTouch is disabled.,Configuration
dc2-border-leaf1b,VerifyLLDPNeighbors,success,,Verifies the connection status of the specified LLDP (Link Layer Discovery Protocol) neighbors.,Connectivity
dc2-border-leaf1b,VerifyReachability,success,,Verifies point-to-point reachability between Ethernet interfaces.,Connectivity
dc2-border-leaf1b,VerifyIllegalLACP,success,,Verifies there are no illegal LACP packets in port channels.,Interfaces
dc2-border-leaf1b,VerifyInterfaceDiscards,success,,Verifies that the interfaces packet discard counters are equal to zero.,Interfaces
dc2-border-leaf1b,VerifyInterfaceErrDisabled,success,,Verifies there are no interfaces in the errdisabled state.,Interfaces
dc2-border-leaf1b,VerifyInterfaceErrors,success,,Verifies that the interfaces error counters are equal to zero.,Interfaces
dc2-border-leaf1b,VerifyInterfaceUtilization,success,,Verifies that the utilization of interfaces is below a certain threshold.,Interfaces
dc2-border-leaf1b,VerifyInterfacesStatus,success,,Verifies the operational states of specified interfaces to ensure they match expected configurations.,Interfaces
dc2-border-leaf1b,VerifyPortChannels,success,,Verifies there are no inactive ports in port channels.,Interfaces
dc2-border-leaf1b,VerifyMlagConfigSanity,success,,Verifies there are no MLAG config-sanity inconsistencies.,MLAG
dc2-border-leaf1b,VerifyMlagInterfaces,success,,Verifies there are no inactive or active-partial MLAG ports.,MLAG
dc2-border-leaf1b,VerifyMlagStatus,success,,Verifies the health status of the MLAG configuration.,MLAG
dc2-border-leaf1b,VerifyRoutingProtocolModel,success,,Verifies the configured routing protocol model.,Routing
dc2-border-leaf1b,VerifySTPCounters,success,,Verifies there is no errors in STP BPDU packets.,STP
dc2-border-leaf1b,VerifyAgentLogs,success,,Verifies there are no agent crash reports.,System
dc2-border-leaf1b,VerifyCoredump,success,,Verifies there are no core dump files.,System
dc2-border-leaf1b,VerifyFileSystemUtilization,success,,Verifies that no partition is utilizing more than 75% of its disk space.,System
dc2-border-leaf1b,VerifyMaintenance,success,,Verifies that the device is not currently under or entering maintenance.,System
dc2-border-leaf1b,VerifyMemoryUtilization,success,,Verifies whether the memory utilization is below 75%.,System
dc2-border-leaf1b,VerifyReloadCause,success,,Verifies the last reload cause of the device.,System
dc2-border-leaf1b,VerifyVxlanConfigSanity,success,,Verifies there are no VXLAN config-sanity inconsistencies.,VXLAN
dc2-leaf1a,VerifyBGPPeerSession,success,,Verifies the session state of BGP peers.,BGP
dc2-leaf1a,VerifyZeroTouch,success,,Verifies ZeroTouch is disabled.,Configuration
dc2-leaf1a,VerifyLLDPNeighbors,success,,Verifies the connection status of the specified LLDP (Link Layer Discovery Protocol) neighbors.,Connectivity
dc2-leaf1a,VerifyReachability,success,,Verifies point-to-point reachability between Ethernet interfaces.,Connectivity
dc2-leaf1a,VerifyIllegalLACP,success,,Verifies there are no illegal LACP packets in port channels.,Interfaces
dc2-leaf1a,VerifyInterfaceDiscards,success,,Verifies that the interfaces packet discard counters are equal to zero.,Interfaces
dc2-leaf1a,VerifyInterfaceErrDisabled,success,,Verifies there are no interfaces in the errdisabled state.,Interfaces
dc2-leaf1a,VerifyInterfaceErrors,success,,Verifies that the interfaces error counters are equal to zero.,Interfaces
dc2-leaf1a,VerifyInterfaceUtilization,success,,Verifies that the utilization of interfaces is below a certain threshold.,Interfaces
dc2-leaf1a,VerifyInterfacesStatus,success,,Verifies the operational states of specified interfaces to ensure they match expected configurations.,Interfaces
dc2-leaf1a,VerifyPortChannels,success,,Verifies there are no inactive ports in port channels.,Interfaces
dc2-leaf1a,VerifyLoggingErrors,success,,Verifies there are no syslog messages with a severity of ERRORS or higher.,Logging
dc2-leaf1a,VerifyMlagConfigSanity,success,,Verifies there are no MLAG config-sanity inconsistencies.,MLAG
dc2-leaf1a,VerifyMlagInterfaces,success,,Verifies there are no inactive or active-partial MLAG ports.,MLAG
dc2-leaf1a,VerifyMlagStatus,success,,Verifies the health status of the MLAG configuration.,MLAG
dc2-leaf1a,VerifyRoutingProtocolModel,success,,Verifies the configured routing protocol model.,Routing
dc2-leaf1a,VerifySTPCounters,success,,Verifies there is no errors in STP BPDU packets.,STP
dc2-leaf1a,VerifyAgentLogs,success,,Verifies there are no agent crash reports.,System
dc2-leaf1a,VerifyCoredump,success,,Verifies there are no core dump files.,System
dc2-leaf1a,VerifyFileSystemUtilization,success,,Verifies that no partition is utilizing more than 75% of its disk space.,System
dc2-leaf1a,VerifyMaintenance,success,,Verifies that the device is not currently under or entering maintenance.,System
dc2-leaf1a,VerifyMemoryUtilization,success,,Verifies whether the memory utilization is below 75%.,System
dc2-leaf1a,VerifyReloadCause,success,,Verifies the last reload cause of the device.,System
dc2-leaf1a,VerifyVxlanConfigSanity,success,,Verifies there are no VXLAN config-sanity inconsistencies.,VXLAN
dc2-leaf1b,VerifyBGPPeerSession,success,,Verifies the session state of BGP peers.,BGP
dc2-leaf1b,VerifyZeroTouch,success,,Verifies ZeroTouch is disabled.,Configuration
dc2-leaf1b,VerifyLLDPNeighbors,success,,Verifies the connection status of the specified LLDP (Link Layer Discovery Protocol) neighbors.,Connectivity
dc2-leaf1b,VerifyReachability,success,,Verifies point-to-point reachability between Ethernet interfaces.,Connectivity
dc2-leaf1b,VerifyIllegalLACP,success,,Verifies there are no illegal LACP packets in port channels.,Interfaces
dc2-leaf1b,VerifyInterfaceDiscards,success,,Verifies that the interfaces packet discard counters are equal to zero.,Interfaces
dc2-leaf1b,VerifyInterfaceErrDisabled,success,,Verifies there are no interfaces in the errdisabled state.,Interfaces
dc2-leaf1b,VerifyInterfaceErrors,success,,Verifies that the interfaces error counters are equal to zero.,Interfaces
dc2-leaf1b,VerifyInterfaceUtilization,success,,Verifies that the utilization of interfaces is below a certain threshold.,Interfaces
dc2-leaf1b,VerifyInterfacesStatus,success,,Verifies the operational states of specified interfaces to ensure they match expected configurations.,Interfaces
dc2-leaf1b,VerifyPortChannels,success,,Verifies there are no inactive ports in port channels.,Interfaces
dc2-leaf1b,VerifyLoggingErrors,success,,Verifies there are no syslog messages with a severity of ERRORS or higher.,Logging
dc2-leaf1b,VerifyMlagConfigSanity,success,,Verifies there are no MLAG config-sanity inconsistencies.,MLAG
dc2-leaf1b,VerifyMlagInterfaces,success,,Verifies there are no inactive or active-partial MLAG ports.,MLAG
dc2-leaf1b,VerifyMlagStatus,success,,Verifies the health status of the MLAG configuration.,MLAG
dc2-leaf1b,VerifyRoutingProtocolModel,success,,Verifies the configured routing protocol model.,Routing
dc2-leaf1b,VerifySTPCounters,success,,Verifies there is no errors in STP BPDU packets.,STP
dc2-leaf1b,VerifyAgentLogs,success,,Verifies there are no agent crash reports.,System
dc2-leaf1b,VerifyCoredump,success,,Verifies there are no core dump files.,System
dc2-leaf1b,VerifyFileSystemUtilization,success,,Verifies that no partition is utilizing more than 75% of its disk space.,System
dc2-leaf1b,VerifyMaintenance,success,,Verifies that the device is not currently under or entering maintenance.,System
dc2-leaf1b,VerifyMemoryUtilization,success,,Verifies whether the memory utilization is below 75%.,System
dc2-leaf1b,VerifyReloadCause,success,,Verifies the last reload cause of the device.,System
dc2-leaf1b,VerifyVxlanConfigSanity,success,,Verifies there are no VXLAN config-sanity inconsistencies.,VXLAN
dc2-leaf1c,VerifyZeroTouch,success,,Verifies ZeroTouch is disabled.,Configuration
dc2-leaf1c,VerifyLLDPNeighbors,success,,Verifies the connection status of the specified LLDP (Link Layer Discovery Protocol) neighbors.,Connectivity
dc2-leaf1c,VerifyIllegalLACP,success,,Verifies there are no illegal LACP packets in port channels.,Interfaces
dc2-leaf1c,VerifyInterfaceDiscards,success,,Verifies that the interfaces packet discard counters are equal to zero.,Interfaces
dc2-leaf1c,VerifyInterfaceErrDisabled,success,,Verifies there are no interfaces in the errdisabled state.,Interfaces
dc2-leaf1c,VerifyInterfaceErrors,success,,Verifies that the interfaces error counters are equal to zero.,Interfaces
dc2-leaf1c,VerifyInterfaceUtilization,success,,Verifies that the utilization of interfaces is below a certain threshold.,Interfaces
dc2-leaf1c,VerifyInterfacesStatus,success,,Verifies the operational states of specified interfaces to ensure they match expected configurations.,Interfaces
dc2-leaf1c,VerifyPortChannels,success,,Verifies there are no inactive ports in port channels.,Interfaces
dc2-leaf1c,VerifyLoggingErrors,success,,Verifies there are no syslog messages with a severity of ERRORS or higher.,Logging
dc2-leaf1c,VerifyRoutingProtocolModel,success,,Verifies the configured routing protocol model.,Routing
dc2-leaf1c,VerifySTPCounters,success,,Verifies there is no errors in STP BPDU packets.,STP
dc2-leaf1c,VerifyAgentLogs,success,,Verifies there are no agent crash reports.,System
dc2-leaf1c,VerifyCoredump,success,,Verifies there are no core dump files.,System
dc2-leaf1c,VerifyFileSystemUtilization,success,,Verifies that no partition is utilizing more than 75% of its disk space.,System
dc2-leaf1c,VerifyMaintenance,success,,Verifies that the device is not currently under or entering maintenance.,System
dc2-leaf1c,VerifyMemoryUtilization,success,,Verifies whether the memory utilization is below 75%.,System
dc2-leaf1c,VerifyReloadCause,success,,Verifies the last reload cause of the device.,System
dc2-leaf2a,VerifyBGPPeerSession,success,,Verifies the session state of BGP peers.,BGP
dc2-leaf2a,VerifyZeroTouch,success,,Verifies ZeroTouch is disabled.,Configuration
dc2-leaf2a,VerifyLLDPNeighbors,success,,Verifies the connection status of the specified LLDP (Link Layer Discovery Protocol) neighbors.,Connectivity
dc2-leaf2a,VerifyReachability,success,,Verifies point-to-point reachability between Ethernet interfaces.,Connectivity
dc2-leaf2a,VerifyIllegalLACP,success,,Verifies there are no illegal LACP packets in port channels.,Interfaces
dc2-leaf2a,VerifyInterfaceDiscards,success,,Verifies that the interfaces packet discard counters are equal to zero.,Interfaces
dc2-leaf2a,VerifyInterfaceErrDisabled,success,,Verifies there are no interfaces in the errdisabled state.,Interfaces
dc2-leaf2a,VerifyInterfaceErrors,success,,Verifies that the interfaces error counters are equal to zero.,Interfaces
dc2-leaf2a,VerifyInterfaceUtilization,success,,Verifies that the utilization of interfaces is below a certain threshold.,Interfaces
dc2-leaf2a,VerifyInterfacesStatus,success,,Verifies the operational states of specified interfaces to ensure they match expected configurations.,Interfaces
dc2-leaf2a,VerifyPortChannels,success,,Verifies there are no inactive ports in port channels.,Interfaces
dc2-leaf2a,VerifyLoggingErrors,success,,Verifies there are no syslog messages with a severity of ERRORS or higher.,Logging
dc2-leaf2a,VerifyMlagConfigSanity,success,,Verifies there are no MLAG config-sanity inconsistencies.,MLAG
dc2-leaf2a,VerifyMlagInterfaces,success,,Verifies there are no inactive or active-partial MLAG ports.,MLAG
dc2-leaf2a,VerifyMlagStatus,success,,Verifies the health status of the MLAG configuration.,MLAG
dc2-leaf2a,VerifyRoutingProtocolModel,success,,Verifies the configured routing protocol model.,Routing
dc2-leaf2a,VerifySTPCounters,success,,Verifies there is no errors in STP BPDU packets.,STP
dc2-leaf2a,VerifyAgentLogs,success,,Verifies there are no agent crash reports.,System
dc2-leaf2a,VerifyCoredump,success,,Verifies there are no core dump files.,System
dc2-leaf2a,VerifyFileSystemUtilization,success,,Verifies that no partition is utilizing more than 75% of its disk space.,System
dc2-leaf2a,VerifyMaintenance,success,,Verifies that the device is not currently under or entering maintenance.,System
dc2-leaf2a,VerifyMemoryUtilization,success,,Verifies whether the memory utilization is below 75%.,System
dc2-leaf2a,VerifyReloadCause,success,,Verifies the last reload cause of the device.,System
dc2-leaf2a,VerifyVxlanConfigSanity,success,,Verifies there are no VXLAN config-sanity inconsistencies.,VXLAN
dc2-leaf2b,VerifyBGPPeerSession,success,,Verifies the session state of BGP peers.,BGP
dc2-leaf2b,VerifyRunningConfigDiffs,success,,Verifies there is no difference between the running-config and the startup-config.,Configuration
dc2-leaf2b,VerifyZeroTouch,success,,Verifies ZeroTouch is disabled.,Configuration
dc2-leaf2b,VerifyLLDPNeighbors,success,,Verifies the connection status of the specified LLDP (Link Layer Discovery Protocol) neighbors.,Connectivity
dc2-leaf2b,VerifyReachability,success,,Verifies point-to-point reachability between Ethernet interfaces.,Connectivity
dc2-leaf2b,VerifyIllegalLACP,success,,Verifies there are no illegal LACP packets in port channels.,Interfaces
dc2-leaf2b,VerifyInterfaceDiscards,success,,Verifies that the interfaces packet discard counters are equal to zero.,Interfaces
dc2-leaf2b,VerifyInterfaceErrDisabled,success,,Verifies there are no interfaces in the errdisabled state.,Interfaces
dc2-leaf2b,VerifyInterfaceErrors,success,,Verifies that the interfaces error counters are equal to zero.,Interfaces
dc2-leaf2b,VerifyInterfaceUtilization,success,,Verifies that the utilization of interfaces is below a certain threshold.,Interfaces
dc2-leaf2b,VerifyInterfacesStatus,success,,Verifies the operational states of specified interfaces to ensure they match expected configurations.,Interfaces
dc2-leaf2b,VerifyPortChannels,success,,Verifies there are no inactive ports in port channels.,Interfaces
dc2-leaf2b,VerifyLoggingErrors,success,,Verifies there are no syslog messages with a severity of ERRORS or higher.,Logging
dc2-leaf2b,VerifyMlagConfigSanity,success,,Verifies there are no MLAG config-sanity inconsistencies.,MLAG
dc2-leaf2b,VerifyMlagInterfaces,success,,Verifies there are no inactive or active-partial MLAG ports.,MLAG
dc2-leaf2b,VerifyMlagStatus,success,,Verifies the health status of the MLAG configuration.,MLAG
dc2-leaf2b,VerifyRoutingProtocolModel,success,,Verifies the configured routing protocol model.,Routing
dc2-leaf2b,VerifySTPCounters,success,,Verifies there is no errors in STP BPDU packets.,STP
dc2-leaf2b,VerifyAgentLogs,success,,Verifies there are no agent crash reports.,System
dc2-leaf2b,VerifyCoredump,success,,Verifies there are no core dump files.,System
dc2-leaf2b,VerifyFileSystemUtilization,success,,Verifies that no partition is utilizing more than 75% of its disk space.,System
dc2-leaf2b,VerifyMaintenance,success,,Verifies that the device is not currently under or entering maintenance.,System
dc2-leaf2b,VerifyMemoryUtilization,success,,Verifies whether the memory utilization is below 75%.,System
dc2-leaf2b,VerifyNTP,success,,Verifies if NTP is synchronised.,System
dc2-leaf2b,VerifyReloadCause,success,,Verifies the last reload cause of the device.,System
dc2-leaf2b,VerifyVxlanConfigSanity,success,,Verifies there are no VXLAN config-sanity inconsistencies.,VXLAN
dc2-leaf2c,VerifyZeroTouch,success,,Verifies ZeroTouch is disabled.,Configuration
dc2-leaf2c,VerifyLLDPNeighbors,success,,Verifies the connection status of the specified LLDP (Link Layer Discovery Protocol) neighbors.,Connectivity
dc2-leaf2c,VerifyIllegalLACP,success,,Verifies there are no illegal LACP packets in port channels.,Interfaces
dc2-leaf2c,VerifyInterfaceDiscards,success,,Verifies that the interfaces packet discard counters are equal to zero.,Interfaces
dc2-leaf2c,VerifyInterfaceErrDisabled,success,,Verifies there are no interfaces in the errdisabled state.,Interfaces
dc2-leaf2c,VerifyInterfaceErrors,success,,Verifies that the interfaces error counters are equal to zero.,Interfaces
dc2-leaf2c,VerifyInterfaceUtilization,success,,Verifies that the utilization of interfaces is below a certain threshold.,Interfaces
dc2-leaf2c,VerifyInterfacesStatus,success,,Verifies the operational states of specified interfaces to ensure they match expected configurations.,Interfaces
dc2-leaf2c,VerifyPortChannels,success,,Verifies there are no inactive ports in port channels.,Interfaces
dc2-leaf2c,VerifyLoggingErrors,success,,Verifies there are no syslog messages with a severity of ERRORS or higher.,Logging
dc2-leaf2c,VerifyRoutingProtocolModel,success,,Verifies the configured routing protocol model.,Routing
dc2-leaf2c,VerifySTPCounters,success,,Verifies there is no errors in STP BPDU packets.,STP
dc2-leaf2c,VerifyAgentLogs,success,,Verifies there are no agent crash reports.,System
dc2-leaf2c,VerifyCoredump,success,,Verifies there are no core dump files.,System
dc2-leaf2c,VerifyFileSystemUtilization,success,,Verifies that no partition is utilizing more than 75% of its disk space.,System
dc2-leaf2c,VerifyMaintenance,success,,Verifies that the device is not currently under or entering maintenance.,System
dc2-leaf2c,VerifyMemoryUtilization,success,,Verifies whether the memory utilization is below 75%.,System
dc2-leaf2c,VerifyReloadCause,success,,Verifies the last reload cause of the device.,System
dc2-spine1,VerifyBGPPeerSession,success,,Verifies the session state of BGP peers.,BGP
dc2-spine1,VerifyRunningConfigDiffs,success,,Verifies there is no difference between the running-config and the startup-config.,Configuration
dc2-spine1,VerifyZeroTouch,success,,Verifies ZeroTouch is disabled.,Configuration
dc2-spine1,VerifyLLDPNeighbors,success,,Verifies the connection status of the specified LLDP (Link Layer Discovery Protocol) neighbors.,Connectivity
dc2-spine1,VerifyReachability,success,,Verifies point-to-point reachability between Ethernet interfaces.,Connectivity
dc2-spine1,VerifyInterfaceDiscards,success,,Verifies that the interfaces packet discard counters are equal to zero.,Interfaces
dc2-spine1,VerifyInterfaceErrDisabled,success,,Verifies there are no interfaces in the errdisabled state.,Interfaces
dc2-spine1,VerifyInterfaceErrors,success,,Verifies that the interfaces error counters are equal to zero.,Interfaces
dc2-spine1,VerifyInterfaceUtilization,success,,Verifies that the utilization of interfaces is below a certain threshold.,Interfaces
dc2-spine1,VerifyInterfacesStatus,success,,Verifies the operational states of specified interfaces to ensure they match expected configurations.,Interfaces
dc2-spine1,VerifyLoggingErrors,success,,Verifies there are no syslog messages with a severity of ERRORS or higher.,Logging
dc2-spine1,VerifyRoutingProtocolModel,success,,Verifies the configured routing protocol model.,Routing
dc2-spine1,VerifySTPCounters,success,,Verifies there is no errors in STP BPDU packets.,STP
dc2-spine1,VerifyAgentLogs,success,,Verifies there are no agent crash reports.,System
dc2-spine1,VerifyCoredump,success,,Verifies there are no core dump files.,System
dc2-spine1,VerifyFileSystemUtilization,success,,Verifies that no partition is utilizing more than 75% of its disk space.,System
dc2-spine1,VerifyMaintenance,success,,Verifies that the device is not currently under or entering maintenance.,System
dc2-spine1,VerifyMemoryUtilization,success,,Verifies whether the memory utilization is below 75%.,System
dc2-spine1,VerifyNTP,success,,Verifies if NTP is synchronised.,System
dc2-spine1,VerifyReloadCause,success,,Verifies the last reload cause of the device.,System
dc2-spine2,VerifyBGPPeerSession,success,,Verifies the session state of BGP peers.,BGP
dc2-spine2,VerifyZeroTouch,success,,Verifies ZeroTouch is disabled.,Configuration
dc2-spine2,VerifyLLDPNeighbors,success,,Verifies the connection status of the specified LLDP (Link Layer Discovery Protocol) neighbors.,Connectivity
dc2-spine2,VerifyReachability,success,,Verifies point-to-point reachability between Ethernet interfaces.,Connectivity
dc2-spine2,VerifyInterfaceDiscards,success,,Verifies that the interfaces packet discard counters are equal to zero.,Interfaces
dc2-spine2,VerifyInterfaceErrDisabled,success,,Verifies there are no interfaces in the errdisabled state.,Interfaces
dc2-spine2,VerifyInterfaceErrors,success,,Verifies that the interfaces error counters are equal to zero.,Interfaces
dc2-spine2,VerifyInterfaceUtilization,success,,Verifies that the utilization of interfaces is below a certain threshold.,Interfaces
dc2-spine2,VerifyInterfacesStatus,success,,Verifies the operational states of specified interfaces to ensure they match expected configurations.,Interfaces
dc2-spine2,VerifyLoggingErrors,success,,Verifies there are no syslog messages with a severity of ERRORS or higher.,Logging
dc2-spine2,VerifyRoutingProtocolModel,success,,Verifies the configured routing protocol model.,Routing
dc2-spine2,VerifySTPCounters,success,,Verifies there is no errors in STP BPDU packets.,STP
dc2-spine2,VerifyAgentLogs,success,,Verifies there are no agent crash reports.,System
dc2-spine2,VerifyCoredump,success,,Verifies there are no core dump files.,System
dc2-spine2,VerifyFileSystemUtilization,success,,Verifies that no partition is utilizing more than 75% of its disk space.,System
dc2-spine2,VerifyMaintenance,success,,Verifies that the device is not currently under or entering maintenance.,System
dc2-spine2,VerifyMemoryUtilization,success,,Verifies whether the memory utilization is below 75%.,System
dc2-spine2,VerifyReloadCause,success,,Verifies the last reload cause of the device.,System
